meta_award_label,meta_award_label_details,event_year,event_ref,event_alternative,event_type,,place_city,place_country,artwork_ref,artwork_alternative,comments
Mention honorable,Urban View,2016,Short Waves - Poznan (PL) |code:1037,Short Waves,Short Film Festival,,Poznan,Pologne,Le Park film de Randa Maroufi |code:587,,
Meilleur court-métrage,,2016,,DOKer,International Documentary Film Festival,,Moscou,Russie,Isabella Morra film de Isabel Pagliai |code:574,,
Prix du dialogue,,2016,Emaf - Osnabruck (DE) |code:955,,Multimedia festival,,Osnabruck,Allemagne,Le Park film de Randa Maroufi |code:587,,
Mention spéciale du jury,,2016,Film Fest Dresden - Dresden (DE) |code:1053,,Short Film Festival,,Dresden,Allemagne,Le Park film de Randa Maroufi |code:587,,
best student film,experimental,2016,,ShortCut,Short Film Festival,,Bucarest,Roumanie,Laughter Far Away film de Ewan Golder |code:669,,
Prix de la mise en scène,,2016,,L'Acharnière,Film Festival,,Lille,France,Reisende auf einem Bein film de Alexandru Petru Bǎdelițǎ |code:569,,
Prix Renard pour la bande sonore,,2016,CôTé Court - Pantin (FR) |code:1071,,Short Film Festival,,Pantin,France,Isabella Morra film de Isabel Pagliai |code:574,,
Prix de l'innovation,,2016,,L'Acharnière,Film Festival,,Lille,France,Cuisine Américaine film de Justine Pluvinage |code:570,,
Meilleur court-métrage,,2016,,Du Cinéma sous les étoiles,Film Festival,,Lyon,France,Isabella Morra film de Isabel Pagliai |code:574,,
meilleur film expérimental ,,2016,,Tabor,Film Festival,Châeau de Tabor,Tabor,Croatie,Le Park film de Randa Maroufi |code:587,,
Meilleur court-métrage,,2016,,Toko Film,Film Festival,,,Italie,Le Park film de Randa Maroufi |code:587,,
Mention spéciale,,2016,,Dokufest,International Documentary Film Festival,,Priznen,Kosovo,Le Park film de Randa Maroufi |code:587,,
Prix du Jury,,2016,,La Nuit de l'Instant,Multimedia festival,,Marseille,France,Le Park film de Randa Maroufi |code:587,,
Mention spéciale du jury,,2016,,Message to man,Film Festival,,Saint-Petersbourg,Russie,Isabella Morra film de Isabel Pagliai |code:574,,
Mention spéciale EcoFilm,,2016,,Rural Film Fest,Film Festival,,El Eden de la Mancha,Espagne,Focus on Infinity film de Mathilde Lavenne |code:584,,
Prix Ars,computer animation,2016,,CyberArts,Multimedia festival,,,,Tehran-Geles film de Arash Nassiri |code:29,,
